"German Word","Article (der/die/das)","Part of Speech","English Translation","German Example Sentence","English Example Sentence","Category","Difficulty"
"Aufgaben","die","noun (pl)","tasks / exercises","Ich mache alle Aufgaben.","I do all the tasks.","Education","A1.3"
"Buch","das","noun","book","Ich lese ein interessantes Buch.","I am reading an interesting book.","Education","A1.1"
"Bücher","die","noun (pl)","books","Ich habe viele Bücher.","I have many books.","Education","A1.1"
"Wörterbuch","das","noun","dictionary","Ich schlage das Wort im Wörterbuch nach.","I look up the word in the dictionary.","Education","A1.3"
"Heft","das","noun","notebook / exercise book","Schreib das ins Heft.","Write that in the notebook.","Education","A1.3"
"Hefte","die","noun (pl)","notebooks","Ich brauche neue Hefte.","I need new notebooks.","Education","A1.3"
"Stift","der","noun","pen / pencil","Hast du einen Stift?","Do you have a pen?","Education","A1.3"
"Stifte","die","noun (pl)","pens / pencils","Ich habe viele Stifte.","I have many pens.","Education","A1.3"
"Bleistift","der","noun","pencil","Ich schreibe mit dem Bleistift.","I write with the pencil.","Education","A1.3"
"Bleistifte","die","noun (pl)","pencils","Die Kinder haben Bleistifte.","The children have pencils.","Education","A1.3"
"Tafel","die","noun","blackboard / board","Der Lehrer schreibt an die Tafel.","The teacher writes on the board.","Education","A1.3"
"lernen","","verb","to learn / study","Ich lerne jeden Tag Deutsch.","I learn German every day.","Education","A1.1"
"studieren","","verb","to study (at university)","Er studiert Medizin.","He studies medicine.","Education","A1.3"
"lesen","","verb","to read","Ich lese gern Bücher.","I like reading books.","Education","A1.1"
"schreiben","","verb","to write","Bitte schreiben Sie Ihren Namen.","Please write your name.","Education","A1.1"
"verstehen","","verb","to understand","Ich verstehe die Frage nicht.","I don't understand the question.","Education","A1.3"
"erklären","","verb","to explain","Können Sie das erklären?","Can you explain that?","Education","A1.3"
"wiederholen","","verb","to repeat / revise","Können Sie das bitte wiederholen?","Can you please repeat that?","Education","A1.3"
"üben","","verb","to practise","Ich übe täglich Deutsch.","I practise German every day.","Education","A1.3"
"Arbeit","die","noun","work / job","Ich suche Arbeit.","I am looking for work.","Work","A1.3"
"arbeiten","","verb","to work","Ich arbeite in einem Büro.","I work in an office.","Work","A1.3"
"Büro","das","noun","office","Das Büro ist im zweiten Stock.","The office is on the second floor.","Work","A1.3"
"Firma","die","noun","company / firm","Ich arbeite für eine große Firma.","I work for a large company.","Work","A1.3"
"Firmen","die","noun (pl)","companies / firms","In der Stadt gibt es viele Firmen.","There are many companies in the city.","Work","A1.3"
"Unternehmen","das","noun","company / business","Das Unternehmen hat 200 Mitarbeiter.","The company has 200 employees.","Work","A1.3"
"Mitarbeiter","der","noun","employee (male)","Der Mitarbeiter ist fleißig.","The employee is hard-working.","Work","A1.3"
"Mitarbeiter","die","noun (pl)","employees (male/mixed)","Das Unternehmen hat 200 Mitarbeiter.","The company has 200 employees.","Work","A1.3"
"Mitarbeiterin","die","noun","employee (female)","Die Mitarbeiterin hat viel Erfahrung.","The employee (female) has a lot of experience.","Work","A1.3"
"Mitarbeiterinnen","die","noun (pl)","employees (female)","Die Mitarbeiterinnen arbeiten sehr gut.","The female employees work very well.","Work","A1.3"
"Stelle","die","noun","job / position","Ich bewerbe mich um eine Stelle.","I am applying for a position.","Work","A1.3"
"Stellen","die","noun (pl)","jobs / positions","Es gibt viele offene Stellen.","There are many open positions.","Work","A1.3"
"Stellenanzeige","die","noun","job advertisement","Ich habe eine Stellenanzeige gelesen.","I read a job advertisement.","Work","A1.3"
"Stellenanzeigen","die","noun (pl)","job advertisements","Ich lese viele Stellenanzeigen.","I read many job advertisements.","Work","A1.3"
"Bewerbung","die","noun","application (job)","Ich schreibe eine Bewerbung.","I am writing a job application.","Work","A1.3"
"Bewerbungen","die","noun (pl)","applications (job)","Ich schreibe drei Bewerbungen.","I am writing three job applications.","Work","A1.3"
"Gehalt","das","noun","salary","Das Gehalt ist gut.","The salary is good.","Work","A1.3"
"Urlaub","der","noun","annual leave","Ich nehme Urlaub.","I am taking annual leave.","Work","A1.3"
"Arbeitszeit","die","noun","working hours","Meine Arbeitszeit ist von 9 bis 17 Uhr.","My working hours are from 9 to 5.","Work","A1.3"
"Pause","die","noun","break","Ich mache eine Pause.","I'm taking a break.","Work","A1.3"
"Pausen","die","noun (pl)","breaks","Wir machen zwei Pausen.","We take two breaks.","Work","A1.3"
"Besprechung","die","noun","meeting","Ich habe eine Besprechung.","I have a meeting.","Work","A1.3"
"Besprechungen","die","noun (pl)","meetings","Heute habe ich drei Besprechungen.","Today I have three meetings.","Work","A1.3"
"Telefon","das","noun","telephone","Haben Sie ein Telefon?","Do you have a telephone?","Work","A1.3"
"Telefone","die","noun (pl)","telephones","Wir haben zwei Telefone im Büro.","We have two telephones in the office.","Work","A1.3"
"Computer","der","noun","computer","Ich arbeite am Computer.","I work at the computer.","Work","A1.3"
"Computer","die","noun (pl)","computers","Im Büro gibt es zehn Computer.","There are ten computers in the office.","Work","A1.3"
"E-Mail","die","noun","email","Ich schreibe eine E-Mail.","I'm writing an email.","Work","A1.3"
"E-Mails","die","noun (pl)","emails","Ich beantworte viele E-Mails.","I answer many emails.","Work","A1.3"
"Brief","der","noun","letter","Ich schreibe einen Brief.","I am writing a letter.","Work","A1.3"
"Briefe","die","noun (pl)","letters","Ich bekomme viele Briefe.","I receive many letters.","Work","A1.3"
"Freizeit","die","noun","free time / leisure","In meiner Freizeit lese ich.","In my free time I read.","Leisure & Hobbies","A1.3"
"Hobby","das","noun","hobby","Mein Hobby ist das Fotografieren.","My hobby is photography.","Leisure & Hobbies","A1.3"
"Sport","der","noun","sport","Ich treibe gern Sport.","I like doing sport.","Leisure & Hobbies","A1.3"
"Sportarten","die","noun (pl)","types of sport","Es gibt viele Sportarten.","There are many types of sport.","Leisure & Hobbies","A1.2"
"spielen","","verb","to play","Die Kinder spielen im Park.","The children play in the park.","Leisure & Hobbies","A1.3"
"schwimmen","","verb","to swim","Ich schwimme gern.","I like swimming.","Leisure & Hobbies","A1.3"
"laufen","","verb","to run / walk","Ich laufe jeden Morgen.","I run every morning.","Leisure & Hobbies","A1.3"
"Fußball","der","noun","football / soccer","Ich spiele Fußball.","I play football.","Leisure & Hobbies","A1.2"
"Tennis","das","noun","tennis","Wir spielen Tennis.","We play tennis.","Leisure & Hobbies","A1.2"
"Musik","die","noun","music","Ich höre gern Musik.","I like listening to music.","Leisure & Hobbies","A1.3"
"Lied","das","noun","song","Das Lied ist sehr schön.","The song is very beautiful.","Leisure & Hobbies","A1.3"
"Lieder","die","noun (pl)","songs","Ich höre viele Lieder.","I listen to many songs.","Leisure & Hobbies","A1.3"
"tanzen","","verb","to dance","Ich tanze sehr gern.","I like dancing very much.","Leisure & Hobbies","A1.3"
"singen","","verb","to sing","Das Kind singt ein Lied.","The child is singing a song.","Leisure & Hobbies","A1.3"
"Film","der","noun","film / movie","Der Film ist sehr interessant.","The film is very interesting.","Leisure & Hobbies","A1.3"
"Filme","die","noun (pl)","films / movies","Ich schaue gern Filme.","I like watching films.","Leisure & Hobbies","A1.3"
"Kino","das","noun","cinema","Wir gehen ins Kino.","We are going to the cinema.","Leisure & Hobbies","A1.3"
"Theater","das","noun","theatre","Wir gehen ins Theater.","We are going to the theatre.","Leisure & Hobbies","A1.3"
"Museum","das","noun","museum","Das Museum ist interessant.","The museum is interesting.","Leisure & Hobbies","A1.3"
"Museen","die","noun (pl)","museums","Berlin hat viele Museen.","Berlin has many museums.","Leisure & Hobbies","A1.3"
"Konzert","das","noun","concert","Wir gehen zum Konzert.","We're going to the concert.","Leisure & Hobbies","A1.3"
"Konzerte","die","noun (pl)","concerts","Wir gehen zu vielen Konzerten.","We go to many concerts.","Leisure & Hobbies","A1.3"
"Ausstellung","die","noun","exhibition","Die Ausstellung ist sehr schön.","The exhibition is very beautiful.","Leisure & Hobbies","A1.3"
"Ausstellungen","die","noun (pl)","exhibitions","Das Museum zeigt tolle Ausstellungen.","The museum shows great exhibitions.","Leisure & Hobbies","A1.3"
"Zeitung","die","noun","newspaper","Ich lese die Zeitung.","I read the newspaper.","Leisure & Hobbies","A1.3"
"Zeitungen","die","noun (pl)","newspapers","Ich lese zwei Zeitungen.","I read two newspapers.","Leisure & Hobbies","A1.3"
"Zeitschrift","die","noun","magazine","Ich lese eine Zeitschrift.","I'm reading a magazine.","Leisure & Hobbies","A1.3"
"Zeitschriften","die","noun (pl)","magazines","Ich lese viele Zeitschriften.","I read many magazines.","Leisure & Hobbies","A1.3"
"fotografieren","","verb","to take photographs","Ich fotografiere gern.","I like taking photographs.","Leisure & Hobbies","A1.3"
"reisen","","verb","to travel","Ich reise gern.","I like travelling.","Leisure & Hobbies","A1.3"
"kochen","","verb","to cook","Ich koche gern.","I like cooking.","Leisure & Hobbies","A1.3"
"backen","","verb","to bake","Ich backe jeden Sonntag.","I bake every Sunday.","Leisure & Hobbies","A1.3"
"wandern","","verb","to hike","Wir wandern in den Bergen.","We hike in the mountains.","Leisure & Hobbies","A1.3"
"Party","die","noun","party","Wir machen eine Party.","We are having a party.","Leisure & Hobbies","A1.3"
"Partys","die","noun (pl)","parties","Wir machen viele Partys.","We have many parties.","Leisure & Hobbies","A1.3"
"Fest","das","noun","festival / celebration","Wir feiern ein Fest.","We are celebrating a festival.","Leisure & Hobbies","A1.3"
"Feste","die","noun (pl)","festivals / celebrations","Im Sommer gibt es viele Feste.","In summer there are many festivals.","Leisure & Hobbies","A1.3"
"Wetter","das","noun","weather","Das Wetter ist heute schön.","The weather is nice today.","Weather","A1.1"
"Temperatur","die","noun","temperature","Die Temperatur ist fünfzehn Grad.","The temperature is fifteen degrees.","Weather","A1.3"
"Temperaturen","die","noun (pl)","temperatures","Die Temperaturen steigen.","The temperatures are rising.","Weather","A1.3"
"Grad","der","noun","degree","Es sind zwanzig Grad.","It is twenty degrees.","Weather","A1.3"
"Grad","die","noun (pl)","degrees","Die Temperaturen steigen auf dreißig Grad.","The temperatures rise to thirty degrees.","Weather","A1.3"
"Sonne","die","noun","sun","Die Sonne scheint heute.","The sun is shining today.","Weather","A1.1"
"sonnig","","adj","sunny","Es ist sonnig und warm.","It is sunny and warm.","Weather","A1.3"
"Regen","der","noun","rain","Der Regen ist kalt.","The rain is cold.","Weather","A1.1"
"regnen","","verb","to rain","Es regnet heute.","It is raining today.","Weather","A1.3"
"regnerisch","","adj","rainy","Das Wetter ist regnerisch.","The weather is rainy.","Weather","A1.3"
"Schnee","der","noun","snow","Der Schnee ist weiß.","The snow is white.","Weather","A1.3"
"schneien","","verb","to snow","Es schneit heute.","It is snowing today.","Weather","A1.3"
"Wind","der","noun","wind","Der Wind ist stark.","The wind is strong.","Weather","A1.3"
"windig","","adj","windy","Es ist heute sehr windig.","It is very windy today.","Weather","A1.3"
"Wolke","die","noun","cloud","Die Wolke ist dunkel.","The cloud is dark.","Weather","A1.3"
"Wolken","die","noun (pl)","clouds","Es gibt viele Wolken.","There are many clouds.","Weather","A1.3"
"bewölkt","","adj","cloudy / overcast","Es ist bewölkt.","It is cloudy.","Weather","A1.3"
"Nebel","der","noun","fog","Es gibt Nebel.","There is fog.","Weather","A1.3"
"neblig","","adj","foggy","Das Wetter ist neblig.","The weather is foggy.","Weather","A1.3"
"heiß","","adj","hot","Im Sommer ist es sehr heiß.","In summer it is very hot.","Weather","A1.1"
"warm","","adj","warm","Es ist heute angenehm warm.","It is pleasantly warm today.","Weather","A1.1"
"kalt","","adj","cold","Im Winter ist es kalt.","In winter it is cold.","Weather","A1.1"
"kühl","","adj","cool","Der Abend ist kühl.","The evening is cool.","Weather","A1.3"
"Ort","der","noun","place / town","Welcher Ort ist das?","What place is that?","Places in Town","A1.3"
"Dorf","das","noun","village","Ich wohne in einem kleinen Dorf.","I live in a small village.","Places in Town","A1.3"
"Dörfer","die","noun (pl)","villages","In Bayern gibt es viele kleine Dörfer.","In Bavaria there are many small villages.","Places in Town","A1.3"
"Zentrum","das","noun","centre / downtown","Das Zentrum ist belebt.","The centre is busy.","Places in Town","A1.3"
"Innenstadt","die","noun","city centre","Ich gehe in die Innenstadt.","I'm going to the city centre.","Places in Town","A1.3"
"Platz","der","noun","square / place / space","Ich wohne neben dem Platz.","I live next to the square.","Places in Town","A1.3"
"Plätze","die","noun (pl)","squares / spaces","Die Plätze in der Stadt sind schön.","The squares in the city are beautiful.","Places in Town","A1.3"
"Brücke","die","noun","bridge","Wir gehen über die Brücke.","We walk over the bridge.","Places in Town","A1.3"
"Brücken","die","noun (pl)","bridges","Die Stadt hat viele Brücken.","The city has many bridges.","Places in Town","A1.3"
"Park","der","noun","park","Ich gehe im Park spazieren.","I go for a walk in the park.","Places in Town","A1.3"
"Parks","die","noun (pl)","parks","Die Stadt hat viele Parks.","The city has many parks.","Places in Town","A1.3"
"Bank","die","noun","bank","Ich gehe zur Bank.","I'm going to the bank.","Places in Town","A1.3"
"Post","die","noun","post office","Ich schicke ein Paket bei der Post.","I send a parcel at the post office.","Places in Town","A1.3"
"Kirche","die","noun","church","Die Kirche ist alt und schön.","The church is old and beautiful.","Places in Town","A1.3"
"Kirchen","die","noun (pl)","churches","In der Altstadt gibt es viele Kirchen.","In the old town there are many churches.","Places in Town","A1.3"
"Krankenhaus","das","noun","hospital","Das Krankenhaus ist in der Nähe.","The hospital is nearby.","Places in Town","A1.1"
"Polizei","die","noun","police","Ich rufe die Polizei.","I'm calling the police.","Places in Town","A1.3"
"Feuerwehr","die","noun","fire brigade","Die Feuerwehr ist gekommen.","The fire brigade has come.","Places in Town","A1.3"
"Rathaus","das","noun","town hall","Das Rathaus ist im Zentrum.","The town hall is in the centre.","Places in Town","A1.3"
"Bibliothek","die","noun","library","Ich leihe Bücher in der Bibliothek.","I borrow books from the library.","Places in Town","A1.3"
"Bibliotheken","die","noun (pl)","libraries","Es gibt zwei Bibliotheken hier.","There are two libraries here.","Places in Town","A1.3"
"Schwimmbad","das","noun","swimming pool","Ich gehe ins Schwimmbad.","I'm going to the swimming pool.","Places in Town","A1.3"
"Café","das","noun","café","Wir treffen uns im Café.","We meet in the café.","Places in Town","A1.3"
"Cafés","die","noun (pl)","cafés","In der Innenstadt gibt es viele Cafés.","In the city centre there are many cafés.","Places in Town","A1.3"
"Bar","die","noun","bar","Wir gehen in die Bar.","We're going to the bar.","Places in Town","A1.3"
"Disco","die","noun","nightclub / disco","Wir gehen in die Disco.","We're going to the nightclub.","Places in Town","A1.3"
"Bäckerei","die","noun","bakery","Ich kaufe Brot in der Bäckerei.","I buy bread at the bakery.","Places in Town","A1.3"
"Bäckereien","die","noun (pl)","bakeries","Es gibt drei Bäckereien in der Straße.","There are three bakeries on the street.","Places in Town","A1.3"
"Metzgerei","die","noun","butcher's shop","Ich kaufe Wurst in der Metzgerei.","I buy sausage at the butcher's.","Places in Town","A1.3"
"sprechen","","verb","to speak / talk","Ich spreche ein bisschen Deutsch.","I speak a little German.","Communication","A1.1"
"sagen","","verb","to say / tell","Was sagen Sie?","What do you say?","Communication","A1.1"
"fragen","","verb","to ask","Darf ich fragen?","May I ask?","Communication","A1.1"
"antworten","","verb","to answer / reply","Bitte antworten Sie.","Please answer.","Communication","A1.2"
"hören","","verb","to hear / listen","Ich höre gut.","I hear well.","Communication","A1.1"
"zuhören","","verb","to listen","Bitte hören Sie zu.","Please listen.","Communication","A1.3"
"telefonieren","","verb","to telephone / make a call","Ich telefoniere mit meiner Mutter.","I'm talking on the phone with my mother.","Communication","A1.3"
"anrufen","","verb","to call (by phone)","Ich rufe dich morgen an.","I'll call you tomorrow.","Communication","A1.3"
"Gespräch","das","noun","conversation / talk","Wir haben ein Gespräch.","We are having a conversation.","Communication","A1.3"
"Gespräche","die","noun (pl)","conversations","Wir hatten viele Gespräche.","We had many conversations.","Communication","A1.3"
"Nachricht","die","noun","message / news","Ich habe eine Nachricht.","I have a message.","Communication","A1.3"
"Nachrichten","die","noun (pl)","news / messages","Ich schaue die Nachrichten.","I watch the news.","Communication","A1.3"
"Internet","das","noun","internet","Ich suche im Internet.","I'm searching on the internet.","Communication","A1.3"
"Handy","das","noun","mobile phone","Mein Handy ist kaputt.","My mobile phone is broken.","Communication","A1.3"
"Handys","die","noun (pl)","mobile phones","Alle Kinder haben Handys.","All children have mobile phones.","Communication","A1.3"
"Smartphone","das","noun","smartphone","Ich habe ein neues Smartphone.","I have a new smartphone.","Communication","A1.3"
"SMS","die","noun","text message","Ich schicke eine SMS.","I'm sending a text message.","Communication","A1.3"
"groß","","adj","big / tall","Das Haus ist sehr groß.","The house is very big.","Descriptions","A1.1"
"klein","","adj","small / short","Das Kind ist noch klein.","The child is still small.","Descriptions","A1.1"
"lang","","adj","long / tall","Das Kleid ist sehr lang.","The dress is very long.","Descriptions","A1.3"
"kurz","","adj","short","Ich habe kurze Haare.","I have short hair.","Descriptions","A1.3"
"alt","","adj","old","Das Haus ist sehr alt.","The house is very old.","Descriptions","A1.1"
"neu","","adj","new","Ich habe ein neues Auto.","I have a new car.","Descriptions","A1.1"
"jung","","adj","young","Das Kind ist noch jung.","The child is still young.","Descriptions","A1.3"
"schön","","adj","beautiful / nice","Das Wetter ist schön.","The weather is beautiful.","Descriptions","A1.1"
"hässlich","","adj","ugly","Das Gebäude ist hässlich.","The building is ugly.","Descriptions","A1.3"
"gut","","adj/adv","good / well","Das Essen ist sehr gut.","The food is very good.","Descriptions","A1.1"
"schlecht","","adj/adv","bad / badly","Das Wetter ist schlecht.","The weather is bad.","Descriptions","A1.1"
"richtig","","adj/adv","correct / right","Das ist richtig.","That is correct.","Descriptions","A1.3"
"falsch","","adj/adv","wrong / incorrect","Das ist falsch.","That is wrong.","Descriptions","A1.3"
"einfach","","adj","easy / simple","Die Aufgabe ist einfach.","The task is easy.","Descriptions","A1.3"
"schwer","","adj","heavy / difficult","Die Prüfung ist sehr schwer.","The exam is very difficult.","Descriptions","A1.3"
"schnell","","adj/adv","fast / quick","Der Zug fährt sehr schnell.","The train travels very fast.","Descriptions","A1.3"
"langsam","","adj/adv","slow","Bitte sprechen Sie langsam.","Please speak slowly.","Descriptions","A1.3"
"laut","","adj/adv","loud","Die Musik ist zu laut.","The music is too loud.","Descriptions","A1.3"
"leise","","adj/adv","quiet / soft","Bitte sprechen Sie leiser.","Please speak more quietly.","Descriptions","A1.3"
"teuer","","adj","expensive","Das Restaurant ist sehr teuer.","The restaurant is very expensive.","Descriptions","A1.1"
"billig","","adj","cheap / inexpensive","Das Kleid ist billig.","The dress is cheap.","Descriptions","A1.1"
"voll","","adj","full","Der Zug ist voll.","The train is full.","Descriptions","A1.1"
"leer","","adj","empty","Das Glas ist leer.","The glass is empty.","Descriptions","A1.1"
"sauber","","adj","clean","Das Zimmer ist sauber.","The room is clean.","Descriptions","A1.3"
"schmutzig","","adj","dirty","Die Schuhe sind schmutzig.","The shoes are dirty.","Descriptions","A1.3"
"hell","","adj","bright / light","Das Zimmer ist hell.","The room is bright.","Descriptions","A1.3"
"dunkel","","adj","dark","Es ist dunkel draußen.","It is dark outside.","Descriptions","A1.3"
"freundlich","","adj","friendly","Die Leute sind sehr freundlich.","The people are very friendly.","Descriptions","A1.3"
"nett","","adj","nice / kind","Er ist sehr nett.","He is very nice.","Descriptions","A1.3"
"interessant","","adj","interesting","Das Buch ist sehr interessant.","The book is very interesting.","Descriptions","A1.3"
"langweilig","","adj","boring","Der Film ist langweilig.","The film is boring.","Descriptions","A1.3"
"wichtig","","adj","important","Das ist sehr wichtig.","That is very important.","Descriptions","A1.3"
"kaputt","","adj","broken","Das Fahrrad ist kaputt.","The bicycle is broken.","Descriptions","A1.3"
"müde","","adj","tired","Ich bin sehr müde.","I am very tired.","Descriptions","A1.3"
"hungrig","","adj","hungry","Ich bin hungrig.","I am hungry.","Descriptions","A1.3"
"durstig","","adj","thirsty","Ich bin sehr durstig.","I am very thirsty.","Descriptions","A1.3"
"glücklich","","adj","happy","Ich bin sehr glücklich.","I am very happy.","Descriptions","A1.3"
"traurig","","adj","sad","Der Film ist traurig.","The film is sad.","Descriptions","A1.3"
"rot","","adj","red","Das Auto ist rot.","The car is red.","Colours","A1.1"
"blau","","adj","blue","Der Himmel ist blau.","The sky is blue.","Colours","A1.1"
"grün","","adj","green","Das Gras ist grün.","The grass is green.","Colours","A1.1"
"gelb","","adj","yellow","Die Banane ist gelb.","The banana is yellow.","Colours","A1.1"
"schwarz","","adj","black","Die Katze ist schwarz.","The cat is black.","Colours","A1.1"
"weiß","","adj","white","Das Hemd ist weiß.","The shirt is white.","Colours","A1.1"
"grau","","adj","grey","Die Wolken sind grau.","The clouds are grey.","Colours","A1.3"
"braun","","adj","brown","Die Tür ist braun.","The door is brown.","Colours","A1.3"
"orange","","adj","orange","Die Orange ist orange.","The orange is orange.","Colours","A1.3"
"rosa","","adj","pink","Das Kleid ist rosa.","The dress is pink.","Colours","A1.3"
"lila","","adj","purple / violet","Die Blume ist lila.","The flower is purple.","Colours","A1.3"
"sein","","verb","to be","Ich bin Lehrerin.","I am a teacher.","Core Verbs","A1.1"
"haben","","verb","to have","Ich habe ein Auto.","I have a car.","Core Verbs","A1.1"
"werden","","verb","to become / will (future)","Ich werde Arzt.","I will become a doctor.","Core Verbs","A1.3"
"können","","verb (modal)","can / to be able to","Ich kann gut Deutsch.","I can speak German well.","Core Verbs","A1.1"
"müssen","","verb (modal)","must / to have to","Ich muss jetzt gehen.","I have to go now.","Core Verbs","A1.1"
"wollen","","verb (modal)","to want to","Ich will Kaffee trinken.","I want to drink coffee.","Core Verbs","A1.1"
"sollen","","verb (modal)","should / to be supposed to","Du sollst um acht Uhr da sein.","You should be there at eight.","Core Verbs","A1.3"
"dürfen","","verb (modal)","may / to be allowed to","Darf ich hier sitzen?","May I sit here?","Core Verbs","A1.3"
"mögen","","verb (modal)","to like","Ich mag Schokolade.","I like chocolate.","Core Verbs","A1.3"
"möchten","","verb (modal)","would like to","Ich möchte bitte einen Kaffee.","I would like a coffee please.","Core Verbs","A1.3"
"gehen","","verb","to go / walk","Ich gehe zur Arbeit.","I'm going to work.","Core Verbs","A1.1"
"kommen","","verb","to come","Ich komme aus Deutschland.","I come from Germany.","Core Verbs","A1.1"
"machen","","verb","to make / do","Was machst du heute?","What are you doing today?","Core Verbs","A1.1"
"nehmen","","verb","to take","Ich nehme den Bus.","I take the bus.","Core Verbs","A1.1"
"geben","","verb","to give","Gib mir bitte das Buch.","Please give me the book.","Core Verbs","A1.3"
"sehen","","verb","to see","Ich sehe das Haus.","I can see the house.","Core Verbs","A1.1"
"wissen","","verb","to know (a fact)","Ich weiß die Antwort.","I know the answer.","Core Verbs","A1.3"
"kennen","","verb","to know (a person/place)","Ich kenne Berlin gut.","I know Berlin well.","Core Verbs","A1.3"
"denken","","verb","to think","Ich denke, er hat recht.","I think he is right.","Core Verbs","A1.3"
"glauben","","verb","to believe / think","Ich glaube, das stimmt.","I believe that is correct.","Core Verbs","A1.3"
"finden","","verb","to find","Ich finde das Buch.","I find the book.","Core Verbs","A1.1"
"brauchen","","verb","to need","Ich brauche Hilfe.","I need help.","Core Verbs","A1.3"
"heißen","","verb","to be called","Wie heißen Sie?","What is your name?","Core Verbs","A1.1"
"wohnen","","verb","to live / reside","Ich wohne in Berlin.","I live in Berlin.","Core Verbs","A1.1"
"suchen","","verb","to look for / search","Ich suche meine Schlüssel.","I'm looking for my keys.","Core Verbs","A1.1"
"zeigen","","verb","to show","Zeigen Sie mir bitte den Weg.","Please show me the way.","Core Verbs","A1.3"
"helfen","","verb","to help","Können Sie mir helfen?","Can you help me?","Core Verbs","A1.1"
"öffnen","","verb","to open","Bitte öffnen Sie das Fenster.","Please open the window.","Core Verbs","A1.1"
"schließen","","verb","to close","Bitte schließen Sie die Tür.","Please close the door.","Core Verbs","A1.1"
"warten","","verb","to wait","Ich warte auf den Bus.","I'm waiting for the bus.","Core Verbs","A1.1"
"beginnen","","verb","to begin / start","Der Unterricht beginnt um acht.","The lesson begins at eight.","Core Verbs","A1.3"
"aufhören","","verb","to stop / finish","Wann hört der Kurs auf?","When does the course finish?","Core Verbs","A1.3"
"bringen","","verb","to bring","Können Sie mir bitte Wasser bringen?","Can you bring me water please?","Core Verbs","A1.3"
"essen","","verb","to eat","Ich esse gern Pizza.","I like eating pizza.","Core Verbs","A1.1"
"trinken","","verb","to drink","Ich trinke Wasser.","I drink water.","Core Verbs","A1.1"
"schlafen","","verb","to sleep","Ich schlafe acht Stunden.","I sleep eight hours.","Core Verbs","A1.1"
"aufstehen","","verb","to get up","Ich stehe um sieben Uhr auf.","I get up at seven o'clock.","Core Verbs","A1.3"
"waschen","","verb","to wash","Ich wasche mich morgens.","I wash myself in the morning.","Core Verbs","A1.3"
"sich anziehen","","verb","to get dressed","Ich ziehe mich an.","I get dressed.","Core Verbs","A1.3"
"sich ausziehen","","verb","to get undressed","Das Kind zieht sich aus.","The child gets undressed.","Core Verbs","A1.3"
"kaufen","","verb","to buy","Ich kaufe ein neues Buch.","I'm buying a new book.","Core Verbs","A1.1"
"bezahlen","","verb","to pay","Ich bezahle mit Karte.","I pay by card.","Core Verbs","A1.1"
"reservieren","","verb","to reserve / book","Ich möchte einen Tisch reservieren.","I would like to reserve a table.","Core Verbs","A1.3"
"auch","","conj/adv","also / too","Ich komme auch.","I'm coming too.","Useful Expressions","A1.1"
"aber","","conj","but","Ich mag Kaffee, aber nicht Tee.","I like coffee but not tea.","Useful Expressions","A1.1"
"und","","conj","and","Ich kaufe Brot und Butter.","I'm buying bread and butter.","Useful Expressions","A1.1"
"oder","","conj","or","Kaffee oder Tee?","Coffee or tea?","Useful Expressions","A1.1"
"weil","","conj","because","Ich bleibe zu Hause, weil ich krank bin.","I'm staying at home because I'm ill.","Useful Expressions","A1.3"
"dass","","conj","that","Ich glaube, dass das stimmt.","I believe that is correct.","Useful Expressions","A1.3"
"wenn","","conj","when / if","Ich rufe an, wenn ich da bin.","I'll call when I'm there.","Useful Expressions","A1.3"
"wie","","conj/adv","how / as / like","Wie heißen Sie?","What is your name? (How are you called?)","Useful Expressions","A1.1"
"was","","pron","what","Was möchten Sie?","What would you like?","Useful Expressions","A1.1"
"wer","","pron","who","Wer ist das?","Who is that?","Useful Expressions","A1.1"
"wo","","adv","where","Wo wohnst du?","Where do you live?","Useful Expressions","A1.1"
"woher","","adv","where from","Woher kommen Sie?","Where do you come from?","Useful Expressions","A1.1"
"wohin","","adv","where to","Wohin gehen Sie?","Where are you going?","Useful Expressions","A1.1"
"wann","","adv","when","Wann kommst du?","When are you coming?","Useful Expressions","A1.1"
"warum","","adv","why","Warum lernst du Deutsch?","Why are you learning German?","Useful Expressions","A1.1"
"wie viel","","adv","how much","Wie viel kostet das?","How much does that cost?","Useful Expressions","A1.1"
"wie viele","","adv","how many","Wie viele Kinder haben Sie?","How many children do you have?","Useful Expressions","A1.3"
"viel","","adj/adv","a lot / much","Ich habe viel Arbeit.","I have a lot of work.","Useful Expressions","A1.1"
"wenig","","adj/adv","a little / few","Ich habe wenig Zeit.","I have little time.","Useful Expressions","A1.1"
"sehr","","adv","very","Das ist sehr gut.","That is very good.","Useful Expressions","A1.1"
"zu","","adv","too (excessive)","Das ist zu teuer.","That is too expensive.","Useful Expressions","A1.1"
"noch","","adv","still / yet / another","Ich bin noch nicht fertig.","I'm not finished yet.","Useful Expressions","A1.3"
"schon","","adv","already","Ich bin schon hier.","I'm already here.","Useful Expressions","A1.3"
"nur","","adv","only / just","Ich habe nur zehn Euro.","I only have ten euros.","Useful Expressions","A1.3"
"nicht","","adv","not","Ich verstehe das nicht.","I don't understand that.","Useful Expressions","A1.1"
"kein","","art/adj","no / not a","Ich habe kein Auto.","I don't have a car.","Useful Expressions","A1.1"
"alle","","pron/adj","all / everyone","Alle sind da.","Everyone is here.","Useful Expressions","A1.3"
"alles","","pron","everything","Alles ist gut.","Everything is good.","Useful Expressions","A1.3"
